Guid	Url	Answer	ExtractAnnotation	TargetVariableJson	AnswerJson	ConditionsJson
a9a338de-6ddd-11ea-9ba4-ccda262736ce	https://socratic.org/questions/how-many-elements-in-total-are-joined-together-to-form-magnesium-chloride	2	start physical_unit 2 2 number none qc_end substance 10 11 qc_end end	[{"type":"physical unit","value":"Number [OF] elements"}]	[{"type":"physical unit","value":"2"}]	[{"type":"substance name","value":"Magnesium chloride"}]
a9e03bac-6ddd-11ea-9161-ccda262736ce	https://socratic.org/questions/what-is-the-empirical-formula-for-a-compound-that-is-36-1-ca-and-63-9-ci	CaCl2	start chemical_formula qc_end end	[{"type":"other","value":"Chemical Formula [OF] the compound [IN] empirical"}]	[{"type":"chemical equation","value":"CaCl2"}]	[{"type":"physical unit","value":"Percent [OF] Ca in the compound [=] \\pu{36.1%}"},{"type":"physical unit","value":"Percent [OF] Cl in the compound [=] \\pu{63.9%}"}]
a9db3310-6ddd-11ea-8201-ccda262736ce	https://socratic.org/questions/what-is-the-ph-of-2-34-10-5-naoh-solution	9.37	start physical_unit 9 10 ph none qc_end physical_unit 9 10 5 8 molarity qc_end end	[{"type":"physical unit","value":"pH [OF] NaOH solution"}]	[{"type":"physical unit","value":"9.37"}]	[{"type":"physical unit","value":"Molarity [OF] NaOH solution [=] \\pu{2.34 × 10^(-5) M}"}]
ab4505b9-6ddd-11ea-a6d9-ccda262736ce	https://socratic.org/questions/57ff1aa5b72cff6976a735db	HO- + H+ -> H2O(aq)	start chemical_equation qc_end substance 10 11 qc_end substance 13 14 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the net ionic equation"}]	[{"type":"chemical equation","value":"HO- + H+ -> H2O(aq)"}]	[{"type":"substance name","value":"Hydroiodic acid"},{"type":"substance name","value":"Potassium hydroxide"}]
aab42890-6ddd-11ea-813b-ccda262736ce	https://socratic.org/questions/what-is-the-ph-of-a-6-49-10-3-m-koh-solution	11.81	start physical_unit 10 11 ph none qc_end physical_unit 10 11 6 9 molarity qc_end end	[{"type":"physical unit","value":"pH [OF] KOH solution"}]	[{"type":"physical unit","value":"11.81"}]	[{"type":"physical unit","value":"Molarity [OF] KOH solution [=] \\pu{6.49 × 10^(-3) M}"}]
a8ca630b-6ddd-11ea-99c8-ccda262736ce	https://socratic.org/questions/how-do-you-balance-mg-h-3po-4-mg-3-po-4-2-h-2	3 Mg + 2 H3PO4 -> Mg3(PO4)2 + 3 H2	start chemical_equation qc_end chemical_equation 4 10 qc_end end	[{"type":"other","value":"Chemical Equation [OF] the equation"}]	[{"type":"chemical equation","value":"3 Mg + 2 H3PO4 -> Mg3(PO4)2 + 3 H2"}]	[{"type":"chemical equation","value":"Mg + H3PO4 -> Mg3(PO4)2 + H2"}]
a8c11406-6ddd-11ea-ad59-ccda262736ce	https://socratic.org/questions/5909351111ef6b3e353427b8	0.14 mol	start physical_unit 19 20 mole mol qc_end physical_unit 3 4 1 2 mole qc_end substance 11 12 qc_end substance 14 15 qc_end end	[{"type":"physical unit","value":"Mole [OF] magnesium nitrate [IN] mol"}]	[{"type":"physical unit","value":"0.14 mol"}]	[{"type":"physical unit","value":"Mole [OF] silver chloride [=] \\pu{0.276 mol}"},{"type":"substance name","value":"Silver nitrate"},{"type":"substance name","value":"Magnesium chloride"}]
a8bf8d77-6ddd-11ea-b338-ccda262736ce	https://socratic.org/questions/how-many-moles-of-ammonium-nitrate-are-in-335-ml-of-0-425m-nh-4no-3	0.14 moles	start physical_unit 13 13 mole mol qc_end physical_unit 13 13 8 9 volume qc_end physical_unit 13 13 11 12 molarity qc_end end	[{"type":"physical unit","value":"Mole [OF] NH4NO3 [IN] moles"}]	[{"type":"physical unit","value":"0.14 moles"}]	[{"type":"physical unit","value":"Volume [OF] NH4NO3 [=] \\pu{335 mL}"},{"type":"physical unit","value":"Molarity [OF] NH4NO3 [=] \\pu{0.425 M}"}]
a97f704c-6ddd-11ea-a601-ccda262736ce	https://socratic.org/questions/a-mixture-of-n2-o2-and-co2-has-a-total-pressure-of-740-torr-in-this-mixture-the-	220 torr	start physical_unit 6 6 partial_pressure torr qc_end physical_unit 1 1 12 13 total_pressure qc_end physical_unit 4 4 32 33 partial_pressure qc_end physical_unit 3 3 23 24 partial_pressure qc_end end	[{"type":"physical unit","value":"Partial pressure [OF] CO2 [IN] torr"}]	[{"type":"physical unit","value":"220 torr"}]	[{"type":"physical unit","value":"Total pressure [OF] mixture [=] \\pu{740 torr}"},{"type":"physical unit","value":"Partial pressure [OF] O2 [=] \\pu{400 torr}"},{"type":"physical unit","value":"Partial pressure [OF] N2 [=] \\pu{120 torr}"}]
abfb77aa-6ddd-11ea-96ac-ccda262736ce	https://socratic.org/questions/what-is-the-volume-of-4-5-gr-of-co-2	2.3 L	start physical_unit 8 8 volume ml qc_end physical_unit 8 8 5 6 mass qc_end end	[{"type":"physical unit","value":"Volume [OF] CO2 [IN] L"}]	[{"type":"physical unit","value":"2.3 L"}]	[{"type":"physical unit","value":"Mass [OF] CO2 [=] \\pu{4.5 g}"}]
